acc	organisms	technology	platforms	samples
SRP100488	RATTUS_NORVEGICUS	RNA-SEQ	Illumina HiSeq 2000	NA
SRP152559	RATTUS_NORVEGICUS	RNA-SEQ	Illumina HiSeq 4000	NA
SRP099434	RATTUS_NORVEGICUS	RNA-SEQ	Ion Torrent Proton	NA
SRP135721	RATTUS_NORVEGICUS	RNA-SEQ	Illumina HiSeq 2000	NA
SRP021090	RATTUS_NORVEGICUS	RNA-SEQ	Illumina HiSeq 2000	NA
SRP013116	RATTUS_NORVEGICUS	RNA-SEQ	Illumina HiSeq 2000	NA
SRP022310	RATTUS_NORVEGICUS	RNA-SEQ	Illumina HiSeq 2000	NA
SRP073525	RATTUS_NORVEGICUS	RNA-SEQ	Illumina HiSeq 2500	NA
SRP048964	RATTUS_NORVEGICUS	RNA-SEQ	Illumina HiSeq 2000	NA
SRP049482	RATTUS_NORVEGICUS	RNA-SEQ	Illumina HiSeq 2000	NA
SRP137055	RATTUS_NORVEGICUS	RNA-SEQ	Illumina HiSeq 2000	NA
SRP017586	RATTUS_NORVEGICUS	RNA-SEQ	Illumina HiSeq 2000	NA
SRP055872	RATTUS_NORVEGICUS	RNA-SEQ	Illumina HiSeq 2500	NA
SRP094421	RATTUS_NORVEGICUS	RNA-SEQ	Illumina HiSeq 2500	SRR5068353,SRR5068352,SRR5068351,SRR5068350,SRR5068349,SRR5068348,SRR5068347,SRR5068346,SRR5068345
SRP100864	RATTUS_NORVEGICUS	RNA-SEQ	Illumina HiSeq 2000	NA
SRP057603	RATTUS_NORVEGICUS	RNA-SEQ	Illumina HiSeq 2500	NA
ERP024586	RATTUS_NORVEGICUS	RNA-SEQ	Illumina HiSeq 4000	NA
SRP148632	RATTUS_NORVEGICUS	RNA-SEQ	Illumina HiSeq 1500	NA
SRP058004	RATTUS_NORVEGICUS	RNA-SEQ	Illumina HiSeq 2000	NA
SRP049463	RATTUS_NORVEGICUS	RNA-SEQ	Illumina HiSeq 2000	NA
SRP058398	RATTUS_NORVEGICUS	RNA-SEQ	Illumina HiSeq 2000	NA
SRP091541	RATTUS_NORVEGICUS	RNA-SEQ	Illumina HiSeq 1000	NA
SRP101721	RATTUS_NORVEGICUS	RNA-SEQ	NextSeq 500	SRR5335852,SRR5335851,SRR5335850,SRR5335849,SRR5335848,SRR5335847,SRR5335846,SRR5335845,SRR5335844,SRR5335843,SRR5335842,SRR5335841
ERP007231	RATTUS_NORVEGICUS	RNA-SEQ	Illumina HiSeq 2000	NA
SRP048549	RATTUS_NORVEGICUS	RNA-SEQ	Illumina HiSeq 2500	NA
SRP059044	RATTUS_NORVEGICUS	RNA-SEQ	Illumina HiSeq 2000	SRR2050231,SRR2050230,SRR2050229,SRR2050227,SRR2050226,SRR2050225
SRP110145	RATTUS_NORVEGICUS	RNA-SEQ	NextSeq 500	NA
SRP091911	RATTUS_NORVEGICUS	RNA-SEQ	Illumina HiSeq 2500	NA
SRP123212	RATTUS_NORVEGICUS	RNA-SEQ	NextSeq 500	NA
SRP059358	RATTUS_NORVEGICUS	RNA-SEQ	NextSeq 500	NA
SRP026262	RATTUS_NORVEGICUS	RNA-SEQ	Illumina HiSeq 2000	SRR921320,SRR921319
ERP006608	RATTUS_NORVEGICUS	RNA-SEQ	Illumina HiSeq 2500	NA
SRP059370	RATTUS_NORVEGICUS	RNA-SEQ	Illumina HiSeq 2000	NA
